Designator,Mid X,Mid Y,Rotation,Layer
BUS1,148.48,-121.2,0.0,top
C1,149.7,-99.4,180.0,bottom
C10,144.8,-84.0,180.0,bottom
C11,123.1,-95.4,90.0,bottom
C12,138.125,-99.4,0.0,bottom
C13,145.5,-99.4,180.0,bottom
C14,138.975,-84.0,180.0,bottom
C15,107.55,-97.0,90.0,bottom
C16,158.2,-87.0,0.0,bottom
C17,157.7,-92.3,270.0,top
C18,121.3,-82.9,0.0,top
C2,121.3,-111.399987,90.0,top
C3,148.175,-84.0,0.0,bottom
C4,175.9,-83.7,270.0,bottom
C5,122.5,-85.4,90.0,bottom
C6,150.7,-87.175,90.0,bottom
C7,135.3,-96.4,90.0,bottom
C8,107.55,-87.6,90.0,bottom
C9,135.4,-86.825,90.0,bottom
J1,108.525,-105.9,270.0,top
J2,182.22,-69.0475,90.0,top
J3,158.42,-69.0475,90.0,top
R1,121.0,-97.725,90.0,top
R2,157.7,-96.3,270.0,bottom
R3,159.125,-75.8,0.0,bottom
R4,164.325,-75.7,0.0,bottom
R5,154.225,-75.8,0.0,bottom
RN1,163.3,-110.1,180.0,bottom
RN10,129.0,-110.1,0.0,top
RN11,183.1,-79.2,180.0,top
RN2,154.7,-110.1,180.0,bottom
RN3,146.1,-110.1,180.0,bottom
RN4,137.6,-110.1,180.0,bottom
RN5,129.0,-110.1,180.0,bottom
RN6,163.3,-110.1,0.0,top
RN7,154.725,-110.1,0.0,top
RN8,146.15,-110.1,0.0,top
RN9,137.575,-110.1,0.0,top
U1,115.15,-87.6,180.0,bottom
U2,170.15,-91.4125,90.0,top
U3,115.1,-97.0,180.0,bottom
U4,120.8,-87.7,180.0,top
U5,143.0828,-91.6596,180.0,top
U6,106.2,-71.2,90.0,top
Y1,158.2,-82.95,0.0,bottom
